id,lang,arabic,translation,category,reference,grade
2753,es,عَنِ ابْنِ عَبَّاسٍ رضي الله عنهما قَالَ: قَالَ رَسُولُ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ لِامْرَأَةٍ مِنَ الْأَنْصَارِ سَمَّاهَا ابْنُ عَبَّاسٍ فَنَسِيتُ اسْمَهَا: «مَا مَنَعَكِ أَنْ تَحُجِّي مَعَنَا؟» قَالَتْ: لَمْ يَكُنْ لَنَا إِلَّا نَاضِحَانِ فَحَجَّ أَبُو وَلَدِهَا وَابْنُهَا عَلَى نَاضِحٍ وَتَرَكَ لَنَا نَاضِحًا نَنْضِحُ عَلَيْهِ، قَالَ: «فَإِذَا جَاءَ رَمَضَانُ فَاعْتَمِرِي، فَإِنَّ عُمْرَةً فِيهِ تَعْدِلُ حَجَّةً».,"Se narró de Ibn 'Abbas —que Al-lah esté complacido con ambos— quien dijo: «El Mensajero de Al-lah —la paz y las bendiciones de Al-lah sean con él— le dijo a una mujer de los Ansar cuyo nombre Ibn 'Abbas mencionó, pero que he olvidado: ""¿Por qué no hiciste la peregrinación del 'hayy' con nosotros?"". Respondió: ""Solo teníamos dos camellos con los que extraíamos agua. El padre de mi hijo y este partieron para el 'hayy' en uno de ellos y dejaron el otro para que extrajéramos agua"". Le dijo: ""Cuando llegue ramadán, haz la peregrinación de la ''umrah', pues la ''umrah' en este mes equivale al 'hayy'""».","cuando llegue ramadán, haz la peregrinación de la ''umrah', pues la ''umrah' ...",Registrado por Al-Bujari y Muslim,Sahih
2753,en,,,,,
2753,ar,,,,,
2754,es,عن أبي هريرة رضي الله عنه قال: كان النبي صلى الله عليه وسلم يعتكف في كل رمضان عشرة أيام، فلما كان العام الذي قُبِضَ فيه اعتكف عشرين يوماً.,"De Abu Huraira -Al-lah esté complacido con él- dijo: “El Mensajero, la paz y las bendiciones de Al-lah sean con él, solía retirarse en adoración, diez días en cada Ramadán. Y cuando llegó el año en el que supo que su ‘hora de morir’ había llegado, se retiró veinte días”.","el mensajero, la paz y las bendiciones de al-lah sean con él, solía retirarse...",Registrado por Al-Bujari,Sahih
2754,en,,,,,
2754,ar,,,,,
2755,es,"عن عبد الله بن عباس رضي الله عنهما قال: كانت عُكَاظُ، ومَجِنَّةُ، وذُو المجَازِ أسوَاقَاً في الجاهلية، فَتَأَثَّمُوا أنْ يَتَّجِرُوا في المواسم، فنزلت: {ليس عليكم جناح أن تبتغوا فضلاً من ربكم} ""البقرة"" (198) في مواسم الحج.","De ‘Abdu Al-lah Ibn ‘Abbas -Al-lah esté complacido de ellos- que el Mensajero de Al-lah, que la paz y las bendiciones de Al-lah sean con él, dijo: “Ukádh, Mayinna y Dhul Mayáz eran lugares de mercado en la época preislámica (Yahilia). Y temieron incurrir en falta, si comerciaban en la época del Hayy. Y en ese preciso momento descendió el versículo: (No cometan ninguna falta si buscan la gracia de su Señor [comerciando durante la peregrinación].” [Sura Al-Baqarah. 2.198].","ukádh, mayinna y dhul mayáz eran lugares de mercado en la época preislámica (...",Registrado por Al-Bujari,Sahih
2755,en,,,,,
2755,ar,,,,,
2756,es,عن فَضَالَةُ بنُ عُبَيْدٍ وسلمان الفارسي وعقبة بن عامر الجهني رضي الله عنهم مرفوعاً: «كُلُّ مَيِّتٍ يُخْتَمُ على عَمَلِهِ إلا الُمرَابِطَ في سبيل الله، فإنه يَنْمِي لَهُ عَمَلَهُ يوم القيامة، ويُؤَمَّنُ فتنة القبر».,"Narró Fadála Ibn Ubaid, Salmán Al-Farisi y Uqbata Ibn Amir Al-Yahni, Al-lah esté complacido con ellos, que el Mensajero de Al-lah dijo: “Todo difunto concluye sus acciones con su muerte, excepto el que muere en defensa de la causa de Al-lah, puesto que sigue aumentando la recompensa de sus acciones hasta el Día del Juicio y se le libra del examen de la tumba”.","todo difunto concluye sus acciones con su muerte, excepto el que muere en def...",Registrado por Al-Tirmidhi - Registrado por Abu-Dawud - Registrado por Ahmad,Sahih
2756,en,,,,,
2756,ar,,,,,
2758,es,عن أبي هريرة رضي الله عنه قال: سمعت النبي صلى الله عليه وسلم يقول: «مَنْ حَجَّ لِلهِ فَلَمْ يَرْفُثْ وَلَمْ يَفْسُقْ رَجَعَ كَيَوْمِ وَلَدَتْهُ أُمُّهُ».,"Abu Huraira  —Al-lah esté complacido con él— dijo: «Oí al mensajero de Al-lah —que la paz y las bendiciones de Al-lah sean con él— decir: ""Quien peregrina por Al-lah y no comete obscenidades ni transgresiones vuelve a su hogar como su madre lo dio a luz (libre de pecado)""».",quien peregrina por al-lah y no comete obscenidades ni transgresiones vuelve ...,Registrado por Al-Bujari y Muslim,Sahih
2758,en,,,,,
2758,ar,,,,,
2759,es,عَنْ عَائِشَةَ أُمِّ المُؤْمِنِينَ رَضِيَ اللَّهُ عَنْهَا أَنَّهَا قَالَتْ: يَا رَسُولَ اللَّهِ، نَرَى الجِهَادَ أَفْضَلَ العَمَلِ، أَفَلاَ نُجَاهِدُ؟ قَالَ: «لَا، لَكُنَّ أَفْضَلُ الجِهَادِ: حَجٌّ مَبْرُورٌ».,"'Aisha, la madre de los creyentes —que Al-lah esté complacido con ella—, narró haber dicho: «¡Oh, Mensajero de Al-lah!, vemos que el ""yihad"" (el combate en la causa justa de Al-lah) es la mejor acción, ¿no deberíamos luchar?». Respondió: «No, el mejor ""yihad"" para ustedes es el ""hayy"" aceptado».","¡oh, mensajero de al-lah!, vemos que el ""yihad"" (el combate en la causa justa...",Registrado por Al-Bujari,Sahih
2759,en,,,,,
2759,ar,,,,,
2932,es,عن أبي الفضل العباس بن عبد المطلب رضي الله عنه قال: قلتُ: يا رسول الله عَلِّمْنِي شيئا أسأله الله تعالى ، قال: «سَلُوا اللهَ َالعافية» فمكثتُ أياما،ً ثم جِئْتُ فقلتُ: يا رسول الله علمني شيئا أسأله الله تعالى ، قال لي: «يا عباس، يا عَم رسول الله، سَلُوا الله العافية في الدنيا والآخرة».,"Narró Abu Al-Fadl Abbas Ibn Abd Al-Mutalib -Al-lah esté complacido con él-: “Oh Mensajero de Al-lah, enseñame algo que puedo suplicar a Al-lah Exaltado sea”. Él me respondió: “supliquen a Al-lah la buena salud”. Pasaron unos días y volví a ver al Mensajero de Al-lah, y le dije: “Oh Mensajero de Al-lah, enseñame algo que puedoo suplicar a Al-lah Exaltado sea”. Él me respondió: “Oh, Abbas, Oh tío del Mensajero de Al-lah, supliquen a Al-lah la buena salud en esta vida de acá y en la de allá”.","oh, abbas, oh tío del mensajero de al-lah, supliquen a al-lah la buena salud ...",Registrado por Al-Tirmidhi - Registrado por Ahmad,[Hadiz Verídico Por Otra Cadena Oral]
2932,en,,,,,
2932,ar,,,,,
2933,es,"عن أبي هريرة رضي الله عنه قال: «أَتَى رجل مِنَ المسلمين رسولَ صلى الله عليه وسلم وهو في المسجد فَنَادَاهُ: يا رسول الله، إنِّي زَنَيْتُ، فَأَعْرَضَ عنه، فَتَنَحَّى تِلْقَاءَ وَجْهِهِ فَقَالَ: يا رسول الله، إنِّي زَنَيْت، فأعرض عنه، حَتَّى ثَنَّى ذلك عليه أَرْبَعَ مَرَّاتٍ.
 فَلَمَّا شَهِدَ عَلَى نَفْسِهِ أَرْبع شهادات: دَعَاهُ رَسُولُ الله صلى الله عليه وسلم ، فَقَالَ: أَبِكَ جُنُونٌ؟ قَالَ: لا، قَالَ: فَهَلْ أُحْصِنْت؟ قَالَ: نَعَمْ، فَقَالَ رَسُولُ الله: اذْهَبُوا بِهِ فَارْجُمُوهُ». 
قَالَ ابْنُ شِهَابٍ: فَأَخْبَرَنِي أَبُو سَلَمَةَ بنُ عَبْدِ الرَّحْمَنِ. سَمِعَ جَابِرَ بنَ عَبْدِ الله يَقُولُ: «كُنْت فِيمَنْ رَجَمَهُ، فَرَجَمْنَاهُ بِالمُصَلَّى، فَلَمَّا أَذْلَقَتْهُ الْحِجَارَةُ هَرَبَ، فَأَدْرَكْنَاهُ بِالحَرَّةِ، فَرَجَمْنَاهُ».","Narró Abú Hurairah -Al-lah este complacido con él-: Que un musulmán vino al Mensajero de Al-lah, la paz y las bendiciones de Al-lah sean con él, mientras éste se encontraba en la mezquita, y dirigiéndose a él le dijo: ""Oh Mensajero de Al-lah, he fornicado"". El Profeta, la paz y las bendiciones de Al-lah sean con él, dio vuelta a la cara (mirando hacia otra dirección), pero el hombre volvió a enfrentarlo y le dijo: ""Oh Mensajero de Al-lah, he fornicado. El Profeta, la paz y las bendiciones de Al-lah sean con él, una vez más dio vuelta a la cara (mirando hacia otra dirección) hasta que este lo repitió cuatro veces. Entonces cuando éste hubo testificado cuatro veces en su propia contra, el Mensajero de Al-lah lo llamó y le dijo: ""¿Acaso estás demente?"". Contestó: ""No"". Entonces le preguntó: ""¿Eres casado? Contestó: ""Sí"". El Profeta recién entonces dijo: ""Llevánlo y apedreenle hasta la muerte. Dijo Ibn Shihab: Me informó Abu Salamah Ibn AbdulrRahman que escuchó Yabir Ibn Abdul-lah decir: Estuve uno de los que le apedrearon, lo hemos hecho en la mezquita y cuando sentió el dolo, se huyó y le alcanzamos en Al-Harrah, y ahi lo apedreamos.","que un musulmán vino al mensajero de al-lah, la paz y las bendiciones de al-l...",Registrado por Al-Bujari y Muslim,Sahih
2933,en,,,,,
2933,ar,,,,,
2934,es,عن عبد الله بن عمر رضي الله عنهما قال: «أَجْرَى النَّبِيُّ صلى الله عليه وسلم ما ضُمِّرَ مِن الْخَيْل: مِنْ الْحَفْيَاءِ إلَى ثَنِيَّةِ الوَداع، وَأَجْرَى ما لَمْ يُضَمَّرْ: مِنْ الثَّنِيَّةِ إلَى مسجد بني زُرَيْقٍ. قَال ابن عمر: وَكنْتُ فِيمَن أَجْرى. قَالَ سفيان: مِن الْحَفْيَاء إلى ثَنِيَّة الوداع: خمسة أمْيال، أو سِتَّة، ومن ثَنِيَّة الوداع إلى مسجد بني زُرَيْقٍ: مِيلٌ».,"Narró 'Abdul-lah Ibn 'Umar -Al-lah este complacido con ambos-: El Profeta Muhammad, la paz y las bendiciones de Al-lah sean con él, hizo correr a los caballos Mudammarah (Aquellos que se los dio comida hasta que se engordaron y luego bajar las porciones para que se hacen flacos y veloces) desde Al-Hafia hasta Ziniat Al-Wada'. Y los otros caballos no Mudammarah desde ziniat Al-Wada' hasta la mezquita de la gente de Zuraiq. Ibn 'umar dijo: Estuve entre los que competieron. y dijo Sufian: La distancia entre Al-Hafia y Ziniat Al-Wada' es de cico millas, y dentre Ziniat Al-Wada' y la mezquita de la gente de Zuraiq es de una milla.","el profeta muhammad, la paz y las bendiciones de al-lah sean con hizo correr ...",Registrado por Al-Bujari y Muslim,Sahih
2934,en,,,,,
2934,ar,,,,,
2935,es,عَنْ ابْنِ عَبَّاسٍ رضي الله عنهما أَنَّ النَّبِيَّ صلى الله عليه وسلم قَالَ: ««إذَا أَكَلَ أَحَدُكُمْ طَعَامًا فَلا يَمْسَحْ يَدَهُ حَتَّى يَلْعَقَهَا، أَوْ يُلْعِقَهَا».,"Narró Ibn Abbás -Al-lah esté complacido con ambos- que el Mensajero de Al-lah -la paz y las bendiciones de Al-lah sean con él- dijo: “Si uno de ustedes termina de comer, que no limpie su mano hasta lamer sus dedos o que alguien se los lame”.","si uno de ustedes termina de comer, que no limpie su mano hasta lamer sus ded...",Registrado por Al-Bujari y Muslim,Sahih
2935,en,,,,,
2935,ar,,,,,
2936,es,"عن عبد الله بن عمر رضي الله عنهما مرفوعاً: ""إذا جمع الله عز وجل الأَوَّلِينَ والآخِرين: يرفع لكل غادر لِوَاءٌ، فيقال: هذه غَدْرَةُ فلان بن فلان"".","Narró Abdullah Ibn Umar, que Al-lah esté complacido con ellos, que el Mensajero de Al-lah, que la paz y las bendiciones de Al-lah sean con él, dijo: “Cuando Al-lah, Exaltado sea, reúna a los primeros y a los últimos, se levantará una bandera para todo traidor y se le dirá: Esta es la traición de fulano hijo de fulano”.","cuando al-lah, exaltado sea, reúna a los primeros y a los últimos, se levanta...",Registrado por Al-Bujari y Muslim,Sahih
2936,en,,,,,
2936,ar,,,,,
2937,es,عَنْ عُمَرَ بْنِ الْخَطَّابِ رضي الله عنه أَنَّهُ اسْتَشَارَ النَّاسَ فِي إمْلاصِ الْمَرْأَةِ، فَقَالَ الْمُغِيرَةُ بْنُ شُعْبَةَ: «شَهِدْت النَّبِيَّ صلى الله عليه وسلم قَضَى فِيهِ بِغُرَّةٍ- عَبْدٍ أَوْ أَمَةٍ- فَقَالَ: ائتني بِمَنْ يَشْهَدُ مَعَك، فَشَهِدَ مَعَهُ مُحَمَّدُ بْنُ مَسْلَمَةَ».,"Narró Umar Ibn Al-Jattab - Al-lah esté complacido con él- “Que él consultó a los presentes por el veredicto que se debe aplicar a una mujer que había abortado voluntariamente”. Al-Mughira Ibn Shu’ba le dijo: “Presencié cuando el Mensajero de Al-lah, que la paz y las bendiciones de Al-lah sean con él, dictaminó como compensación liberar un esclavo o una esclava”. Le dijo Umar: “Tráeme a quien haya sido testigo de ello”. Y testificó junto a él Muhammad Ibn Maslama”.",umar ibn al-jattab -al-lah esté complacido con él- le consultó a los presente...,Registrado por Al-Bujari y Muslim,Sahih
2937,en,,,,,
2937,ar,,,,,
2938,es,عن عَبْدُ الله بْنُ عَبَّاسٍ رضي الله عنه قال: «استَفْتَى سعد بن عُبَادَةَ رسول الله في نَذْرٍ كان على أمِّه، تُوُفِّيَتْ قبل أَنْ تقضيَهُ، قال رسول الله صلى الله عليه وسلم : فاقْضِهِ عنها».,"Narró Abdullah Ibn Abbas, Al-lah esté complacido con ambos, que: “Saad Ibn Ubada le consultó al Mensajero de Al-lah, la paz y las bendiciones de Al-lah sean con él, por una promesa que había hecho su madre, pero falleció antes de cumplir esa promesa. Entonces el Mensajero de Al-lah, la paz y las bendiciones de Al-lah sean con él, le dijo: “Cumple tú con su promesa”.","saad ibn ubada le consultó al mensajero de al-lah, la paz y las bendiciones d...",Registrado por Al-Bujari y Muslim,Sahih
2938,en,,,,,
2938,ar,,,,,
2939,es,"عن سلمة بن الأكوع رضي الله عنه قال: «أَتَى النَّبِيَّ صلى الله عليه وسلم عَيْنٌ مِنْ الْمُشْرِكِينَ، وَهُوَ فِي سَفَرِهِ، فَجَلَسَ عِنْدَ أَصْحَابِهِ يَتَحَدَّثُ، ثُمَّ انْفَتَلَ، فَقَالَ النَّبِيُّ صلى الله عليه وسلم : اُطْلُبُوهُ وَاقْتُلُوهُ فَقَتَلْتُهُ، فَنَفَّلَنِي سَلَبَهُ». 
فِي رِوَايَةٍ «فَقَالَ: مَنْ قَتَلَ الرَّجُلَ؟ فَقَالُوا: ابْنُ الأَكْوَعِ فَقَالَ: لَهُ سَلَبُهُ أَجْمَعُ».","Narró Salamata Ibn Al-Kú, Al-lah esté complacido con él: “Un espía de los idólatras vino a fisgonear los asuntos del Mensajero de Al-lah, la paz y las bendiciones de Al-lah sean con él, mientras se encontraba de viaje. El espía acudió a los compañeros del Mensajero de Al-lah, la paz y las bendiciones de Al-lah sean con él, para sacarles información, y luego se marchó. El Mensajero de Al-lah, la paz y las bendiciones de Al-lah sean con él, cuando supo lo que había ocurrido, dijo: ‘Buscadlo y matadlo. Quien le dé muerte, se habrá ganado sus pertenencias como botín (nafal)”. En otro relato: “Preguntó: ¿quién ha matado al espía?” Dijeron: “Ibn Al-Kú”. Él dijo: “suyas serán todas sus pertenencias”.",un espía de los idólatras vino a fisgonear los asuntos del mensajero de al-la...,Registrado por Muslim - Registrado por Al-Bujari y Muslim,Sahih
2939,en,,,,,
2939,ar,,,,,
2940,es,عن أبي هُرَيْرة رضي الله عنه قال: «اقْتَتَلَتْ امْرَأَتَانِ مِنْ هُذَيْلٍ، فرمَت إحداهما الأخرى بحجر، فَقَتَلَتْهَا وَمَا فِي بَطْنِهَا فَاخْتَصَمُوا إلَى النَّبِيِّ صلى الله عليه وسلم فَقَضَى رسول الله: أَنَّ دِيَةَ جَنِينِهَا غُرَّةٌ- عَبْدٌ، أَوْ وَلِيدَةٌ- وَقَضَى بِدِيَةِ المرأة على عَاقِلَتِهَا، وَوَرَّثَهَا وَلَدَهَا وَمَنْ مَعَهُمْ، فَقَامَ حَمَلُ بنُ النَّابِغَةِ الهُذَلِيُّ، فَقَالَ: يا رسول الله، كيف أغرم من لا شَرِبَ وَلا أَكَلَ، وَلا نَطَقَ وَلا اسْتَهَلَّ، فَمِثْلُ ذَلِكَ يُطَلُّ؟ فقال رَسول الله صلى الله عليه وسلم : «إنما هذا من إخوان الكُهَّان» من أجْل سَجْعِهِ الَّذِي سَجَعَ.,"Narró Abu Hurayra -Al-lah esté complacido con él-: ""Dos mujeres de la tribu de Hudhayl se pelearon, siendo que una de ellas lanzó una piedra a la otra y la mató, a ella y a lo que llevaba en su vientre, así que fueron a donde el Mensajero de Al-lah -la paz y las bendiciones de Al-lah sean con él- quien sentenció pagar la Diya (indemnización en reparación por homicidio u otras ofensas a la integridad física, agresión y lesiones) del feto es ""gurra""(indemnización por causa de aborto), un esclavo o esclava- y sentenció la Diya sobre la 'aqila (parientes varones de la culpable). Y le deja en herencia a su hijo y a los que está con él. Entonces, se levantó Hamalu Ibn An-Nabigah Al Hudhaly y dijo: ""Oh Mensajero de Allah, ¿Cómo debo pagar por alguien que no ha bebido ni ha comido, ni pronunciado una palabra, no ha berreado en su nacimiento? ¿Acaso a alguien semejante se le debe favorecer económicamente?"" Entonces el Mensajero de Al-lah -la paz y las bendiciones de Al-lah sean con él- dijo: ""Ciertamente éste (lo que dices ) es igual a lo que dicen ""kuhan""(adivinos)"".","dos mujeres de la tribu de hudhayl se pelearon, siendo que una de ellas lanzó...",Registrado por Al-Bujari y Muslim,Sahih
2940,en,,,,,
2940,ar,,,,,
2941,es,عن أبي بكرة رضي الله عنه قال: قال النبي صلى الله عليه وسلم: «‌أَلَا ‌أُنَبِّئُكُمْ بِأَكْبَرِ الْكَبَائِرِ؟» ثَلَاثًا، قَالُوا: بَلَى يَا رَسُولَ اللهِ، قَالَ: «الْإِشْرَاكُ بِاللهِ، وَعُقُوقُ الْوَالِدَيْنِ» وَجَلَسَ وَكَانَ مُتَّكِئًا، فَقَالَ: «أَلَا وَقَوْلُ الزُّورِ»، قَالَ: فَمَا زَالَ يُكَرِّرُهَا حَتَّى قُلْنَا: لَيْتَهُ سَكَتَ.,"De Abu Bakra —que Al-lah esté complacido con él—, quien narró que el Profeta —la paz y las bendiciones de Al-lah sean con él— dijo: «¿Quieren que les informe sobre cuáles son los pecados más graves?». Lo repitió tres veces. Dijimos: «¡Por supuesto, Mensajero de Al-lah!». Dijo: «Asociar a otros con Al-lah y desobedecer a los padres». Se sentó, pues estaba recostado, y añadió: «Y proferir mentiras». Dijo: Y no cesó de repetirlo hasta que dijimos: «¡Ojalá se callase!».",¿quieren que les informe sobre cuáles son los pecados más graves?,Registrado por Al-Bujari y Muslim,Sahih
2941,en,,,,,
2941,ar,,,,,
2943,es,"عن أنَسُ بنُ مالك رضي الله عنه قال: «أَنَّ جَارِيَةً وُجِدَ رَأْسُهَا مَرْضُوضاً بَيْنَ حَجَرَيْنِ، فَقِيلَ من فَعَلَ هَذَا بِك: فُلانٌ، فُلانٌ؟ حَتَّى ذُكِرَ يَهُودِيٌّ، فَأَوْمَأَتْ بِرَأْسِهَا، فَأُخِذَ الْيَهُودِيُّ فَاعْترف، فَأَمَرَ النَّبِي صلى الله عليه وسلم أَنْ يُرَضَّ رَأْسَهُ بَيْنَ حَجَرَيْنِ». 
وَلِمُسْلِمٍ وَالنَّسَائِيَّ «أَنَّ يَهُودِيّاً قَتَلَ جَارِيَةً عَلَى أَوْضَاحٍ، فَأَقَادَهُ رَسُولُ الله».","Narró Anas Ibn Malik -Al-lah este complacido con él-: Que una mujer se encontró su cabeza aplastada entre dos piedras, le preguntaron: Quien te haya hecho esto? Y comenzaron a mencionar ciertas personas hasta que mencionaron el nombre de un judío, ella les señaló con su cabeza que si. Así que le llevaron al judío a donde el Profeta Muhammad, la paz y las bendiciones de Al-lah sean con él y este judío reconoció lo que haya hecho. Debido a esto, el Profeta Muhammad, la paz y las bendiciones de Al-lah sean con él, ordenó poner la cabeza del judío entre dos piedras (Matarlo de la misma manera que mató a la mujer). En la recopilación de Muslim y Al-Nisa'i dice: ""Que un judío mató a una mujer por asunto de Plata y el profeta Muhammad aplicó la ley corresponidnete a su acción"".",que una mujer se encontró su cabeza aplastada entre dos piedras,Registrado por Al-Bujari y Muslim,Sahih
2943,en,,,,,
2943,ar,,,,,
2944,es,عن البراء بن عازِب رضي الله عنهما قال: «أَمرَنا رسول الله صلى الله عليه وسلم بِسَبْعٍ، وَنَهَانَا عن سَبْعٍ: أَمَرْنَا بِعِيَادَةِ الْمَرِيضِ، وَاتِّبَاعِ الْجِنَازَةِ، وَتَشْمِيتِ الْعَاطِسِ، وَإِبْرَارِ الْقَسَمِ (أَوْ الْمُقْسِمِ)، وَنَصْرِ الْمَظْلُوم، وَإِجابة الدَّاعي، وَإِفْشاءِ السَّلامِ. وَنَهَانَا عن خَوَاتِيمَ- أَو عن تَخَتُّمٍ- بِالذَّهَب، وَعَنْ الشُّرب بِالْفِضَّة، وعن المَيَاثِر، وعن الْقَسِّيِّ، وَعن لُبْسِ الحرِيرِ، وَالإِسْتَبْرَقِ، وَالدِّيباج».,"Narró Al Bará Ibn Azib, Al-lah esté complacido con ambos: “El Mensajero de Allah, la paz y las bendiciones de Al-lah sean con él nos ordenó hacer siete cosas y nos prohibió hacer otras siete: nos ordenó visitar al enfermo; acompañar al fallecido; pedir por el que estornuda si, a su vez, da alabanzas a Allah; hacer valer el juramento de quien te ha pedido algo; ayudar al oprimido; aceptar la invitación; y desearnos la paz. Y nos prohibió ponernos anillos de oro; comer y beber en recipientes de plata; llevar algo de seda en la silla de montar; llevar algún ropaje tejido con mezcla de seda y lino y el uso de ropajes de seda en general.”","el mensajero de al-lah, la paz y las bendiciones de al-lah sean con él, nos o...",Registrado por Al-Bujari y Muslim,Sahih
2944,en,,,,,
2944,ar,,,,,
2945,es,عَنْ عُمَرَ بْنِ الْخَطَّابِ رضي الله عنه قَالَ: قَالَ رَسُولُ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «إِنَّ اللهَ عَزَّ وَجَلَّ يَنْهَاكُمْ أَنْ تَحْلِفُوا بِآبَائِكُمْ»، قَالَ عُمَرُ: فَوَاللهِ مَا حَلَفْتُ بِهَا مُنْذُ سَمِعْتُ رَسُولَ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ نَهَى عَنْهَا ذَاكِرًا وَلَا آثِرًا.,'Umar bin Al Jattab —que Al-lah esté complacido con él— narró que el Mensajero de Al-lah —la paz y las bendiciones de Al-lah sean con él— dijo: «Al-lah les ha prohibido jurar por sus antepasados». 'Umar dijo: «Por Al-lah que no he jurado por ellos desde que oí al Mensajero de Al-lah —la paz y las bendiciones de Al-lah sean con él— prohibirlo; no lo he hecho a propósito ni transmitiéndolo de otra persona».,al-lah les ha prohibido jurar por sus antepasados,Registrado por Al-Bujari y Muslim,Sahih
2945,en,,,,,
2945,ar,,,,,
2946,es,عن أنس بن مالك رضي الله عنه «أَنَ النّبي صلى الله عليه وسلم أُتِي بِرَجُل قَدْ شَرِب الْخَمْرَ، فَجَلَدَهُ بِجَريدة نحو أربعين»,"Narró Anas Ibn Málik -Al-lah este complacido con él- : Que un hombre que había bebido vino y fue traído ante el Profeta Muhammad, la paz y las bendiciones de Al-lah sean con él, y le azotó con aproximadamente cuarenta azotes utilizando dos ramas de palmera.","que un hombre que había bebido vino y fue traído ante el profeta muhammad, la...",Registrado por Al-Bujari y Muslim,Sahih
2946,en,,,,,
2946,ar,,,,,
2947,es,عبدُ الله بنُ عمر رضي اللهُ عنهما «أَنَّ النَّبِي صلى الله عليه وسلم قَطَع فِي مِجَنٍّ قِيمَتُهُ -وَفِي لَفْظٍ: ثَمَنُهُ- ثَلاثَةُ دَرَاهِمَ».,"Narró Ibn 'Umar -Al-lah este complacido con ambos: Que el Mensajero de Al-lah, la paz y las bendiciones de Al-lah sean con él, cortó la mano de un ladrón por robar un escudo que valía tres Dirhams.","que el mensajero de al-lah, la paz y las bendiciones de al-lah sean con él, c...",Registrado por Al-Bujari y Muslim,Sahih
2947,en,,,,,
2947,ar,,,,,
